Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mozambique,MOZ,"School enrollment, tertiary, female (% gross)",0.34275,0.4146,0.60022,0.7201,0.93981,2.00705,2.33231,2.73669,2.95838,3.66594,3.778
Mauritania,MRT,"School enrollment, tertiary, female (% gross)",1.16557,1.29549,1.38624,1.5437,1.46324,1.71986,,2.17499,2.20143,2.49808,2.76017
Mauritius,MUS,"School enrollment, tertiary, female (% gross)",18.95408,15.67617,15.87948,17.52521,21.68705,23.67947,26.59927,30.23767,35.01564,36.91036,40.1038
Malawi,MWI,"School enrollment, tertiary, female (% gross)",,0.24638,,0.35796,0.3451,0.33923,0.3324,,,0.53521,0.63539
Malaysia,MYS,"School enrollment, tertiary, female (% gross)",27.51778,30.74564,35.69304,33.9265,31.89058,31.92911,34.41834,38.40127,40.58598,42.99131,41.41298
North America,NAC,"School enrollment, tertiary, female (% gross)",77.08014679,88.06365204,91.11881256,92.92156982,92.94341278,95.83114624,96.45214844,97.41876984,99.96192932,104.7904,106.1124
Namibia,NAM,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
New Caledonia,NCL,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Niger,NER,"School enrollment, tertiary, female (% gross)",,,0.46295,0.44686,0.57298,0.51893,0.52476,0.62504,0.74401,0.7932,0.8397
Nigeria,NGA,"School enrollment, tertiary, female (% gross)",,,7.8883,8.208,8.67056,,,,,8.1243,8.3004
Nicaragua,NIC,"School enrollment, tertiary, female (% gross)",,18.35017,,,,,,,,,
Netherlands,NLD,"School enrollment, tertiary, female (% gross)",55.76016,57.0025,57.94977,59.13864,61.08368,62.31933,62.93993,63.53572,64.58091,67.26598,80.124
Norway,NOR,"School enrollment, tertiary, female (% gross)",84.70467,88.99126,96.05199,95.97978,95.14269,94.49744,92.71358,90.0708,91.17895,91.21774,90.82011
Nepal,NPL,"School enrollment, tertiary, female (% gross)",,2.08093,2.4498,3.26113,5.49083,5.69884,,8.56242,8.57949,11.29164,11.61579
Nauru,NRU,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
New Zealand,NZL,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
OECD members,OED,"School enrollment, tertiary, female (% gross)",54.98981094,59.61426926,62.11080933,63.88473129,65.23404694,67.25427246,68.27822113,69.30029297,71.36779022,74.67986,76.46348
Oman,OMN,"School enrollment, tertiary, female (% gross)",,,12.54554,17.17735,19.09371,21.34723,23.0195,,27.41112,28.48786,33.11747
Other small states,OSS,"School enrollment, tertiary, female (% gross)",11.50516987,11.83104992,12.68101978,13.30006027,13.75397015,13.93558025,14.98425961,16.51449966,18.56238937,19.1247,20.04029
Pakistan,PAK,"School enrollment, tertiary, female (% gross)",,,2.39876,2.97862,4.57152,4.56527,5.14005,5.08459,6.22182,,7.96285
Panama,PAN,"School enrollment, tertiary, female (% gross)",51.97235,51.24837,54.76053,54.50086,52.52237,53.53514,53.35081,52.6873,52.49909,53.70443,51.42041
Peru,PER,"School enrollment, tertiary, female (% gross)",30.29438,31.91894,31.93736,33.06874,33.36123,35.57919,,,,,
Philippines,PHL,"School enrollment, tertiary, female (% gross)",31.83328,34.18627,32.74596,31.89332,30.41493,30.9615,,32.37835,31.54392,32.91117,34.13121
Palau,PLW,"School enrollment, tertiary, female (% gross)",51.3468,53.95431,,,,,,,,,
Papua New Guinea,PNG,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Poland,POL,"School enrollment, tertiary, female (% gross)",64.8451,68.3771,70.2198,71.77938,74.73641,76.70818,78.88621,82.76669,85.73164,90.67485,91.70821
Pre-demographic dividend,PRE,"School enrollment, tertiary, female (% gross)",3.332040071,3.632280111,3.906389952,4.184979916,4.466100216,4.694369793,4.808819771,5.034959793,5.208889961,5.48187,5.6561
Puerto Rico,PRI,"School enrollment, tertiary, female (% gross)",,,,,,,91.64811,98.52526,102.79306,106.9096,106.2821
"Korea, Dem. People’s Rep.",PRK,"School enrollment, tertiary, female (% gross)",,,,,,,,,20.57362,,
Portugal,PRT,"School enrollment, tertiary, female (% gross)",58.64163,61.36254,63.24047,63.64206,62.97887,62.41694,63.54692,67.11133,67.98629,71.16144,74.47559
Paraguay,PRY,"School enrollment, tertiary, female (% gross)",20.85386,30.78532,29.06011,28.95766,27.41269,,33.25878,39.54869,43.64765,40.88207,
West Bank and Gaza,PSE,"School enrollment, tertiary, female (% gross)",25.41184,27.65522,32.85899,37.44314,41.31577,46.36933,51.4217,52.89384,52.69877,54.86599,57.79266
Pacific island small states,PSS,"School enrollment, tertiary, female (% gross)",9.236929893,9.672519684,9.992139816,10.02038956,10.03262043,9.978859901,,9.847940445,,,
