Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Low & middle income,LMY,"Foreign direct investment, net inflows (BoP, current US$)",1.58679E+11,1.54141E+11,1.61663E+11,2.16806E+11,3.01823E+11,3.92965E+11,5.4678E+11,6.28746E+11,4.28166E+11,6.15888E+11,7.34906E+11
Lesotho,LSO,"Foreign direct investment, net inflows (BoP, current US$)",29695245.88,28391254.96,43948139.98,55671430.94,27441449.23,24322286.69,75616001.72,11009973.06,91349553.1,9507301.296,61173319.21
Late-demographic dividend,LTE,"Foreign direct investment, net inflows (BoP, current US$)",1.17537E+11,1.38852E+11,1.48257E+11,1.72254E+11,2.79552E+11,3.39017E+11,4.84281E+11,4.82456E+11,3.68165E+11,5.54653E+11,6.06628E+11
Lithuania,LTU,"Foreign direct investment, net inflows (BoP, current US$)",442400000,660790497.9,217398839.9,796133753.2,845877986.2,2067072857,2293469627,1907541463,17980648.77,865322434.9,1537988469
Luxembourg,LUX,"Foreign direct investment, net inflows (BoP, current US$)",,4243174365,4291105683,5179643439,4644769483,32219534641,-29679425810,7117112828,27255154249,39128528763,8843156717
Latvia,LVA,"Foreign direct investment, net inflows (BoP, current US$)",173485503.3,159978989.6,316335164.1,591016370.9,810406848.7,1704978770,2713740045,1432688544,-32391422.09,435492262.8,1500490481
"Macao SAR, China",MAC,"Foreign direct investment, net inflows (BoP, current US$)",160004979.1,393961071,506111201,771496386.2,1775023638,2916866633,5357705783,3982611128,-412628142.4,3629274389,1754336190
St. Martin (French part),MAF,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Morocco,MAR,"Foreign direct investment, net inflows (BoP, current US$)",143838237.3,79160963.95,2312682907,787053819,1619752454,2366000096,2806642141,2466288357,1970323920,1240625859,2521362081
Monaco,MCO,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Moldova,MDA,"Foreign direct investment, net inflows (BoP, current US$)",103440000,84050000,73750000,151010000,190700000,258680000,536020000,726610000,258190000,286120000,347930000
Madagascar,MDG,"Foreign direct investment, net inflows (BoP, current US$)",93059224,14661798.07,12874087,52910748,50491148.45,294681941.5,789389724.1,1134497642,1293330142,912287179.8,815534454.5
Maldives,MDV,"Foreign direct investment, net inflows (BoP, current US$)",20541053.26,24718599.77,31774435.57,52933701.73,52991121.06,63826812.89,132432080.8,181255431.8,157963586.8,216468945.7,423530664
